sulfur dioxide diff,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,density,pH,sulphates,alcohol,quality
196.0,6.2,0.27,0.43,7.8,0.056,48.0,0.9956,3.1,0.51,9.0,6
188.0,6.8,0.3,0.23,4.6,0.061,50.5,0.9958,3.32,0.6,9.5,5
63.0,8.6,0.23,0.46,1.0,0.054,9.0,0.9941,2.95,0.49,9.1,6
66.0,6.7,0.23,0.31,2.1,0.046,30.0,0.9926,3.33,0.64,10.7,8
84.0,7.4,0.24,0.29,10.1,0.05,21.0,0.9962,3.13,0.35,9.5,5
56.0,7.1,0.18,0.36,1.4,0.043,31.0,0.9898,3.26,0.37,12.7,7
49.0,7.0,0.32,0.34,1.3,0.042,20.0,0.9912,3.31,0.65,12.0,7
77.0,7.4,0.18,0.3,8.8,0.064,26.0,0.9961,2.94,0.56,9.3,5
115.0,7.1,0.2,0.34,16.0,0.05,51.0,0.9985,3.21,0.6,9.2,6
117.0,7.1,0.34,0.2,6.1,0.063,47.0,0.9946,3.17,0.42,10.0,5
165.0,7.3,0.22,0.3,8.2,0.047,42.0,0.9966,3.33,0.46,9.5,6
133.0,6.8,0.25,0.31,13.3,0.05,69.0,0.9972,3.22,0.48,9.7,6
178.0,6.1,0.27,0.43,7.5,0.049,65.0,0.9957,3.12,0.47,9.0,5
89.0,6.9,0.24,0.33,1.7,0.035,47.0,0.99,3.26,0.4,12.6,7
88.0,6.9,0.21,0.33,1.8,0.034,48.0,0.9899,3.25,0.41,12.6,7
97.0,7.5,0.17,0.32,1.7,0.04,51.0,0.9916,3.21,0.44,11.5,7
178.0,7.1,0.26,0.29,12.4,0.044,62.0,0.9969,3.04,0.42,9.2,6
65.0,8.6,0.265,0.36,1.2,0.034,15.0,0.9913,2.95,0.36,11.4,7
140.0,7.4,0.25,0.37,13.5,0.06,52.0,0.9975,3.0,0.44,9.1,5
98.0,7.1,0.12,0.32,9.6,0.054,64.0,0.9962,3.4,0.41,9.4,5
109.0,6.0,0.21,0.24,12.1,0.05,55.0,0.997,3.34,0.39,9.4,5
126.0,7.5,0.305,0.4,18.9,0.059,44.0,1.0,2.99,0.46,9.0,5
140.0,7.4,0.25,0.37,13.5,0.06,52.0,0.9975,3.0,0.44,9.1,5
75.0,7.3,0.13,0.32,14.4,0.051,34.0,0.9974,3.2,0.35,9.2,6
98.0,7.1,0.12,0.32,9.6,0.054,64.0,0.9962,3.4,0.41,9.4,5
111.0,7.1,0.23,0.35,16.5,0.04,60.0,0.999,3.16,0.59,9.1,6
111.0,7.1,0.23,0.35,16.5,0.04,60.0,0.999,3.16,0.59,9.1,6
150.0,6.9,0.33,0.28,1.3,0.051,37.0,0.9927,3.27,0.6,10.3,5
127.0,7.2,0.31,0.5,13.3,0.056,68.0,0.9982,3.01,0.47,9.2,5
121.0,6.7,0.41,0.34,9.2,0.049,29.0,0.9968,3.22,0.51,9.1,5
121.0,6.7,0.41,0.34,9.2,0.049,29.0,0.9968,3.22,0.51,9.1,5
118.0,6.0,0.31,0.24,3.3,0.041,25.0,0.9914,3.31,0.44,11.3,6
69.0,7.0,0.14,0.4,1.7,0.035,16.0,0.9911,3.19,0.42,11.8,6
127.0,7.2,0.31,0.5,13.3,0.056,68.0,0.9982,3.01,0.47,9.2,5
139.0,7.3,0.32,0.48,13.3,0.06,57.0,0.9982,3.04,0.5,9.2,5
96.0,7.8,0.24,0.32,12.2,0.054,42.0,0.9984,3.01,0.54,8.8,5
100.0,7.4,0.16,0.31,6.85,0.059,31.0,0.9952,3.29,0.34,9.7,5
132.0,6.9,0.19,0.28,5.0,0.058,14.0,0.9952,3.29,0.36,9.1,6
80.0,6.7,0.19,0.36,1.1,0.026,63.0,0.9912,3.27,0.48,11.0,6
97.0,7.4,0.39,0.23,7.0,0.033,29.0,0.994,3.14,0.42,10.5,5
155.0,6.5,0.24,0.32,7.6,0.038,48.0,0.9958,3.45,0.54,9.7,7
50.0,5.7,0.26,0.25,10.4,0.02,7.0,0.994,3.39,0.37,10.6,5
155.0,6.5,0.24,0.32,7.6,0.038,48.0,0.9958,3.45,0.54,9.7,7
182.0,6.5,0.425,0.4,13.1,0.038,59.0,0.9979,3.23,0.57,9.0,5
142.0,6.6,0.24,0.27,15.8,0.035,46.0,0.9982,3.24,0.51,9.2,5
148.0,6.8,0.27,0.22,8.1,0.034,55.0,0.9961,3.19,0.52,8.9,5
135.0,6.7,0.27,0.31,15.7,0.036,44.0,0.9979,3.26,0.56,9.6,5
85.0,8.2,0.23,0.4,1.2,0.027,36.0,0.992,3.12,0.38,10.7,6
66.0,6.8,0.19,0.36,1.9,0.035,30.0,0.9917,3.15,0.54,10.8,7
61.0,8.1,0.28,0.39,1.9,0.029,18.0,0.9923,3.23,0.52,11.8,6
57.0,6.3,0.31,0.34,2.2,0.045,20.0,0.9927,3.3,0.43,10.2,5
69.0,7.9,0.21,0.4,1.2,0.039,38.0,0.992,3.21,0.54,10.8,6
75.0,8.5,0.21,0.41,4.3,0.036,24.0,0.9947,3.18,0.53,9.7,6
68.0,8.1,0.2,0.4,2.0,0.037,19.0,0.9921,3.12,0.54,11.2,6
77.0,6.3,0.255,0.37,1.1,0.04,37.0,0.9905,3.0,0.39,10.9,6
115.0,5.6,0.16,0.27,1.4,0.044,53.0,0.9918,3.28,0.37,10.1,6
61.0,6.3,0.34,0.33,4.6,0.034,19.0,0.9917,3.38,0.58,12.0,7
93.0,6.9,0.25,0.3,4.1,0.054,23.0,0.994,2.99,0.38,9.4,6
106.0,7.9,0.22,0.38,8.0,0.043,46.0,0.9934,3.12,0.32,11.5,7
77.0,7.6,0.18,0.46,10.2,0.055,58.0,0.9968,3.14,0.43,9.9,6
93.0,6.9,0.25,0.3,4.1,0.054,23.0,0.994,2.99,0.38,9.4,6
56.0,7.2,0.18,0.41,1.2,0.048,41.0,0.9919,3.14,0.45,10.4,5
150.0,7.4,0.24,0.42,14.0,0.066,48.0,0.9979,2.89,0.42,8.9,6
150.0,7.4,0.24,0.42,14.0,0.066,48.0,0.9979,2.89,0.42,8.9,6
86.0,6.1,0.32,0.24,1.5,0.036,38.0,0.9898,3.29,0.42,12.4,7
86.0,6.1,0.32,0.24,1.5,0.036,38.0,0.9898,3.29,0.42,12.4,7
71.0,6.3,0.36,0.3,4.8,0.049,14.0,0.9932,3.28,0.39,10.6,5
150.0,7.4,0.24,0.42,14.0,0.066,48.0,0.9979,2.89,0.42,8.9,6
141.0,6.7,0.24,0.35,13.1,0.05,64.0,0.997,3.15,0.5,9.5,5
105.0,7.0,0.23,0.36,13.0,0.051,72.0,0.9972,3.16,0.49,9.8,5
158.0,8.4,0.27,0.46,8.7,0.048,39.0,0.9974,3.14,0.59,9.6,6
73.0,6.7,0.46,0.18,2.4,0.034,25.0,0.9896,3.08,0.44,12.6,7
131.0,7.5,0.29,0.31,8.95,0.055,20.0,0.9968,3.08,0.54,9.3,5
104.0,7.1,0.3,0.46,1.5,0.066,29.0,0.9906,3.12,0.54,12.7,6
79.0,7.9,0.19,0.45,1.5,0.045,17.0,0.9917,3.13,0.39,11.0,6
96.0,7.6,0.48,0.37,0.8,0.037,4.0,0.9902,3.03,0.39,11.4,4
99.0,6.3,0.22,0.43,4.55,0.038,31.0,0.9918,3.35,0.33,11.5,7
140.0,7.5,0.27,0.31,17.7,0.051,33.0,0.999,3.09,0.64,10.2,5
101.0,6.9,0.23,0.4,7.5,0.04,50.0,0.9927,3.11,0.27,11.4,6
46.0,7.2,0.32,0.47,5.1,0.044,19.0,0.991,3.03,0.41,12.6,4
113.0,5.9,0.23,0.3,12.9,0.054,57.0,0.9972,3.28,0.39,9.4,5
135.0,6.4,0.25,0.32,5.5,0.049,41.0,0.995,3.19,0.68,9.2,6
131.0,6.4,0.33,0.31,5.5,0.048,42.0,0.9951,3.19,0.66,9.3,6
122.0,7.1,0.34,0.15,1.2,0.053,61.0,0.9936,3.09,0.43,9.2,5
163.0,6.9,0.27,0.4,14.0,0.05,64.0,0.9979,3.18,0.58,9.6,6
117.0,6.7,0.24,0.41,9.4,0.04,49.0,0.9954,3.12,0.61,9.9,6
77.0,5.9,0.3,0.23,4.2,0.038,42.0,0.9924,3.15,0.5,11.0,5
156.0,6.5,0.28,0.28,8.5,0.047,54.0,0.9962,3.09,0.54,8.9,4
156.0,6.6,0.28,0.28,8.5,0.052,55.0,0.9962,3.09,0.55,8.9,6
95.0,6.8,0.28,0.36,8.0,0.045,28.0,0.9928,3.02,0.37,11.4,6
91.0,6.6,0.15,0.34,5.1,0.055,34.0,0.9942,3.36,0.42,9.6,5
160.0,6.8,0.26,0.24,7.8,0.052,54.0,0.9961,3.13,0.47,8.9,5
152.0,7.1,0.32,0.24,13.1,0.05,52.0,0.998,3.1,0.49,8.8,5
160.0,6.8,0.26,0.24,7.8,0.052,54.0,0.9961,3.13,0.47,8.9,5
141.0,6.8,0.27,0.26,16.1,0.049,55.0,0.9984,3.15,0.5,9.3,5
152.0,7.1,0.32,0.24,13.1,0.05,52.0,0.998,3.1,0.49,8.8,5
95.0,6.8,0.26,0.34,13.9,0.034,39.0,0.9949,3.33,0.53,12.0,6
78.0,5.8,0.28,0.35,2.3,0.053,36.0,0.9924,3.28,0.5,10.2,4
108.0,6.4,0.21,0.5,11.6,0.042,45.0,0.9972,3.15,0.43,8.8,5
88.0,7.0,0.16,0.32,8.3,0.045,38.0,0.9958,3.21,0.34,9.2,5
56.0,5.6,0.245,0.25,9.7,0.032,12.0,0.994,3.31,0.34,10.5,5
76.0,6.8,0.18,0.38,1.4,0.038,35.0,0.9918,3.32,0.59,11.2,7
88.0,7.0,0.16,0.32,8.3,0.045,38.0,0.9958,3.21,0.34,9.2,5
91.0,6.7,0.13,0.29,5.3,0.051,31.0,0.9944,3.44,0.37,9.7,6
70.0,6.2,0.25,0.25,1.4,0.03,35.0,0.9912,3.3,0.44,11.1,7
97.0,5.8,0.26,0.24,9.2,0.044,55.0,0.9961,3.31,0.38,9.4,5
119.0,7.5,0.27,0.36,7.0,0.036,45.0,0.9939,3.03,0.33,11.0,5
97.0,5.8,0.26,0.24,9.2,0.044,55.0,0.9961,3.31,0.38,9.4,5
107.0,5.7,0.28,0.24,17.5,0.044,60.0,0.9989,3.31,0.44,9.4,5
118.0,7.5,0.23,0.36,7.0,0.036,43.0,0.9938,3.04,0.32,11.0,5
119.0,7.5,0.27,0.36,7.0,0.036,45.0,0.9939,3.03,0.33,11.0,5
70.0,6.2,0.25,0.25,1.4,0.03,35.0,0.9912,3.3,0.44,11.1,7
111.0,6.5,0.19,0.3,0.8,0.043,33.0,0.9936,3.42,0.39,9.1,6
106.0,7.1,0.24,0.41,17.8,0.046,39.0,0.9998,3.32,0.39,8.7,5
159.0,6.4,0.17,0.32,2.4,0.048,41.0,0.9938,3.5,0.5,9.7,6
159.0,6.4,0.17,0.32,2.4,0.048,41.0,0.9938,3.5,0.5,9.7,6
106.0,7.1,0.24,0.41,17.8,0.046,39.0,0.9998,3.32,0.39,8.7,5
156.0,8.3,0.28,0.4,7.8,0.041,38.0,0.9976,3.34,0.51,9.6,6
159.0,8.2,0.27,0.39,7.8,0.039,49.0,0.9976,3.31,0.51,9.5,6
139.0,7.2,0.23,0.38,14.3,0.058,55.0,0.9979,3.09,0.44,9.0,6
139.0,7.2,0.23,0.38,14.3,0.058,55.0,0.9979,3.09,0.44,9.0,6
139.0,7.2,0.23,0.38,14.3,0.058,55.0,0.9979,3.09,0.44,9.0,6
139.0,7.2,0.23,0.38,14.3,0.058,55.0,0.9979,3.09,0.44,9.0,6
131.0,6.2,0.25,0.21,15.55,0.039,28.0,0.9982,3.48,0.64,9.6,6
148.0,7.3,0.32,0.23,13.7,0.05,49.0,0.9985,3.2,0.46,8.7,5
67.0,7.7,0.31,0.26,7.8,0.031,23.0,0.9944,3.13,0.5,10.4,5
77.0,7.1,0.21,0.37,2.4,0.026,23.0,0.9903,3.15,0.38,11.4,7
154.0,6.8,0.24,0.34,2.7,0.047,64.5,0.9934,3.3,0.58,9.7,6
113.0,6.8,0.21,0.27,2.1,0.03,26.0,0.99,3.16,0.61,12.6,7
65.0,5.8,0.2,0.27,1.4,0.031,12.0,0.9905,3.25,0.36,10.9,7
64.0,5.6,0.19,0.26,1.4,0.03,12.0,0.9905,3.25,0.37,10.9,7
101.0,6.1,0.41,0.14,10.4,0.037,18.0,0.996,3.38,0.45,10.0,5
104.0,5.8,0.24,0.44,3.5,0.029,5.0,0.9913,3.53,0.43,11.7,3
121.0,5.8,0.24,0.39,1.5,0.054,37.0,0.9932,3.21,0.52,9.3,6
102.0,6.7,0.26,0.39,1.1,0.04,45.0,0.9935,3.32,0.58,9.6,8
89.0,6.3,0.35,0.3,5.7,0.035,8.0,0.9927,3.27,0.41,11.0,7
89.0,6.3,0.35,0.3,5.7,0.035,8.0,0.9927,3.27,0.41,11.0,7
95.0,6.4,0.23,0.39,1.8,0.032,23.0,0.9912,3.32,0.5,11.8,6
72.0,5.8,0.36,0.38,0.9,0.037,3.0,0.9904,3.28,0.34,11.4,4
72.0,6.9,0.115,0.35,5.4,0.048,36.0,0.9939,3.32,0.42,10.2,6
120.0,6.9,0.29,0.4,19.45,0.043,36.0,0.9996,2.93,0.47,8.9,5
80.0,6.9,0.28,0.4,8.2,0.036,15.0,0.9944,3.17,0.33,10.2,5
165.0,7.2,0.29,0.4,13.6,0.045,66.0,0.9977,3.08,0.59,9.6,6
145.0,6.2,0.24,0.35,1.2,0.038,22.0,0.9912,3.1,0.48,10.6,6
120.0,6.9,0.29,0.4,19.45,0.043,36.0,0.9996,2.93,0.47,8.9,5
148.0,6.9,0.32,0.26,8.3,0.053,32.0,0.9965,3.25,0.51,9.2,6
148.0,6.9,0.32,0.26,8.3,0.053,32.0,0.9965,3.25,0.51,9.2,6
104.0,5.8,0.25,0.26,13.1,0.051,44.0,0.9972,3.29,0.38,9.3,5
175.0,7.0,0.29,0.54,10.7,0.046,59.0,0.9966,3.05,0.61,9.5,5
118.0,6.6,0.19,0.41,8.9,0.046,51.0,0.9954,3.14,0.57,9.8,6
116.0,6.7,0.2,0.41,9.1,0.044,50.0,0.9954,3.14,0.58,9.8,6
51.0,7.7,0.26,0.4,1.1,0.042,9.0,0.9915,2.89,0.5,10.6,5
53.0,6.8,0.32,0.34,1.2,0.044,14.0,0.9919,3.05,0.47,10.6,4
88.0,7.0,0.3,0.49,4.7,0.036,17.0,0.9916,3.26,0.68,12.4,7
90.0,7.0,0.24,0.36,2.8,0.034,22.0,0.99,3.19,0.38,12.6,8
155.0,6.8,0.44,0.37,5.1,0.047,46.0,0.9938,3.08,0.65,10.5,4
145.0,6.7,0.34,0.3,15.6,0.054,51.0,0.9982,3.19,0.49,9.3,5
152.0,7.1,0.35,0.24,15.4,0.055,46.0,0.9988,3.12,0.49,8.8,5
133.0,7.3,0.32,0.25,7.2,0.056,47.0,0.9961,3.08,0.47,8.8,5
139.0,6.5,0.28,0.33,15.7,0.053,51.0,0.9978,3.22,0.51,9.7,6
143.0,7.2,0.23,0.39,14.2,0.058,49.0,0.9979,2.98,0.48,9.0,7
143.0,7.2,0.23,0.39,14.2,0.058,49.0,0.9979,2.98,0.48,9.0,7
143.0,7.2,0.23,0.39,14.2,0.058,49.0,0.9979,2.98,0.48,9.0,7
143.0,7.2,0.23,0.39,14.2,0.058,49.0,0.9979,2.98,0.48,9.0,7
102.0,5.9,0.15,0.31,5.8,0.041,53.0,0.9945,3.52,0.46,10.5,6
142.0,7.4,0.28,0.42,19.8,0.066,53.0,1.0,2.96,0.44,9.1,5
131.0,6.2,0.28,0.22,7.3,0.041,26.0,0.9957,3.44,0.64,9.8,7
141.0,6.3,0.33,0.27,1.2,0.046,34.0,0.9934,3.37,0.54,9.4,6
81.0,7.5,0.17,0.44,11.3,0.046,65.0,0.997,3.17,0.45,10.0,6
95.0,6.7,0.17,0.5,2.1,0.043,27.0,0.9923,3.15,0.45,10.3,6
62.0,8.3,0.2,0.35,0.9,0.05,12.0,0.992,3.13,0.38,10.5,6
126.0,6.0,0.29,0.21,1.3,0.055,42.0,0.9914,3.32,0.43,11.1,6
122.0,7.3,0.41,0.24,6.8,0.057,41.0,0.9949,3.2,0.41,9.9,6
122.0,7.3,0.41,0.24,6.8,0.057,41.0,0.9949,3.2,0.41,9.9,6
123.0,7.2,0.43,0.24,6.7,0.058,40.0,0.995,3.2,0.41,9.9,5
125.0,7.3,0.4,0.24,6.7,0.058,41.0,0.995,3.2,0.41,9.9,6
104.0,6.2,0.33,0.27,4.9,0.036,30.0,0.9927,3.2,0.42,10.4,7
112.0,6.2,0.31,0.26,4.8,0.037,36.0,0.9928,3.21,0.41,10.4,6
84.0,6.1,0.36,0.27,2.1,0.035,16.0,0.9917,3.4,0.71,11.5,7
112.0,7.8,0.25,0.41,3.7,0.042,37.0,0.9954,3.36,0.45,10.0,6
115.0,5.7,0.36,0.21,6.7,0.038,51.0,0.9941,3.29,0.63,10.0,6
117.0,5.8,0.34,0.21,6.6,0.04,50.0,0.9941,3.29,0.62,10.0,5
100.0,6.8,0.25,0.34,4.7,0.031,34.0,0.9927,3.21,0.38,10.6,6
99.0,6.6,0.24,0.35,7.7,0.031,36.0,0.9938,3.19,0.37,10.5,5
114.0,5.9,0.3,0.47,7.85,0.03,19.0,0.9933,3.52,0.43,11.5,7
59.0,6.1,0.125,0.25,3.3,0.04,10.0,0.9934,3.54,0.59,10.1,6
99.0,6.6,0.24,0.35,7.7,0.031,36.0,0.9938,3.19,0.37,10.5,5
100.0,6.8,0.25,0.34,4.7,0.031,34.0,0.9927,3.21,0.38,10.6,6
102.0,6.8,0.28,0.44,9.3,0.031,35.0,0.9946,3.16,0.36,10.4,6
196.0,8.3,0.41,0.51,2.0,0.046,11.0,0.993,3.02,0.55,11.4,5
178.0,7.9,0.26,0.41,15.15,0.04,38.0,0.9976,2.96,0.6,10.0,6
106.0,6.4,0.34,0.23,6.3,0.039,37.0,0.9944,3.19,0.65,10.0,6
140.0,6.5,0.28,0.35,15.4,0.042,55.0,0.9978,3.23,0.5,9.6,6
52.0,7.2,0.21,0.41,1.3,0.036,33.0,0.992,3.17,0.51,10.4,5
67.0,6.4,0.32,0.35,4.8,0.03,34.0,0.9912,3.36,0.6,12.5,8
98.0,6.8,0.24,0.34,4.6,0.032,37.0,0.9927,3.2,0.39,10.6,5
75.0,6.3,0.23,0.3,1.8,0.033,16.0,0.9906,3.28,0.4,11.8,6
103.0,6.5,0.28,0.34,9.9,0.038,30.0,0.9954,3.11,0.44,9.8,5
68.0,5.6,0.26,0.26,5.7,0.031,12.0,0.9923,3.25,0.38,10.8,5
75.0,6.3,0.23,0.3,1.8,0.033,16.0,0.9906,3.28,0.4,11.8,6
90.0,6.3,0.23,0.33,1.5,0.036,15.0,0.991,3.32,0.42,11.2,6
115.0,5.8,0.27,0.27,12.3,0.045,55.0,0.9972,3.28,0.42,9.3,6
127.0,5.9,0.26,0.4,1.3,0.047,12.0,0.9945,3.45,0.53,10.4,5
126.0,7.4,0.2,0.43,7.8,0.045,27.0,0.9964,3.19,0.55,9.0,7
112.0,8.0,0.24,0.36,1.5,0.047,17.0,0.9948,3.2,0.54,10.0,6
110.0,6.4,0.26,0.42,9.7,0.044,30.0,0.9962,3.18,0.47,9.1,6
98.0,5.4,0.31,0.47,3.0,0.053,46.0,0.9931,3.29,0.76,10.0,5
98.0,5.4,0.29,0.47,3.0,0.052,47.0,0.993,3.29,0.75,10.0,6
98.0,7.1,0.145,0.33,4.6,0.05,33.0,0.9942,3.28,0.4,9.6,6
80.0,6.7,0.19,0.41,15.6,0.056,75.0,0.9995,3.2,0.44,8.8,6
80.0,7.8,0.18,0.46,13.6,0.052,38.0,0.998,3.15,0.5,10.0,6
81.0,7.6,0.17,0.45,11.2,0.054,56.0,0.997,3.15,0.47,10.0,5
99.0,6.3,0.12,0.36,2.1,0.044,47.0,0.9914,3.27,0.74,11.4,7
106.0,7.3,0.33,0.4,6.85,0.038,32.0,0.992,3.03,0.3,11.9,7
101.0,5.5,0.335,0.3,2.5,0.071,27.0,0.9924,3.14,0.51,9.6,6
106.0,7.3,0.33,0.4,6.85,0.038,32.0,0.992,3.03,0.3,11.9,7
206.5,5.8,0.4,0.42,4.4,0.047,38.5,0.9937,3.25,0.57,9.6,6
143.0,7.3,0.22,0.37,14.3,0.063,48.0,0.9978,2.89,0.38,9.0,6
143.0,7.3,0.22,0.37,14.3,0.063,48.0,0.9978,2.89,0.38,9.0,6
118.0,6.9,0.24,0.34,4.7,0.04,43.0,0.9935,3.2,0.59,10.6,6
108.0,6.4,0.24,0.32,14.9,0.047,54.0,0.9968,3.28,0.5,10.2,6
60.0,7.1,0.365,0.14,1.2,0.055,24.0,0.9941,3.15,0.43,8.9,5
87.0,6.8,0.15,0.3,5.3,0.05,40.0,0.9942,3.4,0.39,9.7,6
143.0,7.3,0.22,0.37,14.3,0.063,48.0,0.9978,2.89,0.38,9.0,6
84.0,6.8,0.16,0.4,2.3,0.037,18.0,0.9923,3.49,0.42,11.4,7
84.0,6.0,0.26,0.32,3.5,0.028,29.0,0.9912,3.4,0.71,12.3,7
109.0,6.9,0.33,0.21,1.0,0.053,39.0,0.9927,3.12,0.45,9.4,6
142.0,7.7,0.29,0.48,2.3,0.049,36.0,0.9931,3.17,0.64,10.6,6
46.0,7.1,0.39,0.35,12.5,0.044,26.0,0.9941,3.17,0.29,11.6,5
109.0,6.9,0.33,0.21,1.0,0.053,39.0,0.9927,3.12,0.45,9.4,6
142.0,7.7,0.29,0.48,2.3,0.049,36.0,0.9931,3.17,0.64,10.6,6
119.0,7.2,0.27,0.27,2.4,0.048,30.0,0.9936,3.1,0.51,9.2,6
71.0,5.1,0.33,0.22,1.6,0.027,18.0,0.9893,3.51,0.38,12.5,7
71.0,5.1,0.33,0.22,1.6,0.027,18.0,0.9893,3.51,0.38,12.5,7
107.0,6.4,0.31,0.28,1.5,0.037,12.0,0.9919,3.32,0.51,10.4,7
77.0,7.3,0.2,0.44,1.4,0.045,21.0,0.9924,3.15,0.46,10.0,7
138.0,5.7,0.32,0.5,2.6,0.049,17.0,0.9927,3.22,0.64,10.0,6
107.0,6.4,0.31,0.28,1.5,0.037,12.0,0.9919,3.32,0.51,10.4,7
